'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
688.050000,43.008306,16.089587,17.160532,32.423662,2.988680
689.700000,37.767947,16.058945,14.880869,31.952299,3.040497
691.350000,31.208775,23.403972,17.180859,43.111437,3.506112
693.000000,32.004490,24.998162,18.737576,46.480868,3.308125
694.650000,32.021589,20.810548,16.237550,41.377822,2.757749
696.300000,28.801361,19.284365,13.439778,39.882560,2.751282
697.950000,25.011046,19.834144,13.322453,34.265075,2.971851
699.600000,24.164626,18.153430,16.463771,25.561072,2.792687
701.250000,27.146444,15.607243,18.249376,22.677767,2.698058
702.900000,29.535017,15.527714,14.151159,31.774499,2.914976
704.550000,28.420766,14.689944,12.904691,38.782444,3.126191
706.200000,25.449877,16.172695,19.238597,35.328767,3.170864
707.850000,23.496146,18.604339,24.736628,37.259095,3.228252
709.500000,21.952979,18.178227,20.275340,37.762091,3.396624
711.150000,21.873476,18.109191,12.209459,31.721607,3.010987
712.800000,22.934126,17.654685,9.685545,29.490337,2.322221
714.450000,26.652193,17.963655,10.775334,32.991880,1.939942
716.100000,30.171744,18.539208,14.292148,36.758750,1.762567
717.750000,27.557450,16.986553,18.614806,32.220378,1.957093
719.400000,27.081099,15.974846,18.929733,29.589783,2.398196
721.050000,30.901894,16.145838,16.223235,37.260360,2.285849
722.700000,32.344863,15.236544,16.229291,38.065329,1.974247
724.350000,28.587624,13.114783,15.765449,29.011249,2.394278
726.000000,27.503979,12.395753,13.150841,24.700861,2.751091
727.650000,28.954899,12.259357,15.249893,28.417551,2.241027
729.300000,27.058648,14.429744,21.092787,35.002369,1.769904
730.950000,26.410614,20.171018,22.213392,37.918193,1.879983
732.600000,24.380635,20.758185,17.522170,34.032184,1.865619
734.250000,19.351289,16.640303,14.388480,31.820496,1.766184
735.900000,16.882257,16.185894,15.366928,34.076175,1.984155
737.550000,20.988642,18.648894,17.409230,33.224219,2.180830
